gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,AvgMonthlyCharges,HasStreamingServices,NumAddOnServices,IsNewCustomer,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,0,0.1023712383613841,0,0,-0.5219756496159262,-0.26225719995201097,-0.5399864492204893,1,3,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,1,1,-0.7117434584104956,1,0,0.3374778078243394,-0.5036347857749957,0.3914956571271635,0,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,1,-0.7931549280876836,0,0,-0.8090131942822701,-0.7498829245931361,-0.6461016261351733,0,3,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
0,0,1,0,-0.2639803751859618,1,1,0.2843841579438598,-0.17272239466719,0.2765520930980041,1,4,0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False
1,0,1,1,-1.2816237461508113,1,0,-0.6762790695810708,-0.9893737196161955,-0.6746084444949295,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,1.3642490183577978,1,1,0.48348534499565887,1.2710674769778725,0.4563085619000811,1,5,0,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,0,-1.2816237461508113,1,0,-1.497571466169742,-1.0002337364297182,-1.4935431594281015,0,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
0,0,1,0,0.30589991255435406,1,0,-0.27641751891870747,0.03500010874782714,-0.1806832745084678,0,1,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,1,0,1.3235432835192036,1,1,-0.17023021915774814,0.6620728371601656,-0.21012547284565336,1,2,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False
0,0,0,0,1.1200146093262338,1,0,0.5183280527297236,1.1179083307653424,0.5243174928791194,1,4,0,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False
0,1,0,0,-1.1188008067964355,1,0,-0.1669118660402181,-0.8826164634250809,-0.24379915203311503,0,3,1,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,1,1,-1.1188008067964355,1,1,-0.5153389433808665,-0.9068814706892347,-0.6097554327264841,0,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,-1.2409180113122174,1,0,-0.46390447005915153,-0.9549288178036082,-0.11293503900035995,0,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,1,-0.10115743583158582,1,0,0.08860132400959055,-0.13125687592464852,0.05741441112950998,0,4,0,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
1,0,1,0,0.14307697319997809,1,1,1.0111034906829266,0.5155174587473736,1.0445110738114731,1,2,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,0.9164859351332638,1,1,0.1367174442137754,0.677167163559567,0.16303618385195898,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0,0,0,0,-0.06045170099299184,1,1,0.6576988836659831,0.1378082679158427,0.6407570764537767,0,2,0,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0,1,1,1,-0.1825689055087738,0,1,-0.9633166142474143,-0.5816952702649228,-0.9981053827531631,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,0,0,-0.6710377235719016,1,0,-1.5257774676687466,-0.8655256490862239,-1.472862989859082,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0,-1.0780950719578415,1,0,-1.4859572302583868,-0.9516598430455984,-1.4290210303727606,0,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
1,1,1,0,-0.22327464034736777,1,1,0.695859944517578,-0.034767271993591815,0.5720228144138161,0,2,0,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1,0,0,0,1.0386031396490458,1,1,-1.3150620447055927,-0.3619938392131716,-1.3075927795378421,0,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,1,1.6084834273893616,1,1,1.326347036848275,2.3840765940825652,1.4049204734671075,1,5,0,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False
0,0,0,0,-0.1825689055087738,0,1,-0.9682941439237093,-0.587070430101919,-1.0125815014514767,0,2,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
1,0,1,1,0.30589991255435406,1,1,0.667653943018573,0.463499075181995,0.6271255091965717,1,2,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
1,0,0,0,-1.2816237461508113,1,0,-1.4743429943470319,-0.9999265844390328,-1.4703813695107997,0,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0,-1.1188008067964355,1,1,0.5000771105833088,-0.8279214696551572,0.5810914517359344,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,-1.2816237461508113,1,1,0.14169497389007057,-0.978557581658485,0.1410174433071996,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,1,-0.8338606629262776,1,1,1.3396204493183947,-0.4491811257120391,1.3687301767213238,1,4,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,-1.1188008067964355,1,1,1.034331962505636,-0.809975017627962,0.8517535110552613,1,3,1,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
1,0,1,0,1.5677776925507676,1,1,0.7024966507526377,1.64394999367006,0.6688918787061486,1,6,0,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
1,0,0,0,-1.2002122764736234,1,1,0.39886734049864436,-0.9087024432054416,0.37042945772618935,0,0,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,-0.10115743583158582,1,0,-1.5025489958460367,-0.7211422740361364,-1.4253261734097626,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,0,1,0,-0.30468611002455576,1,1,-1.4842980536996218,-0.7860610412103057,-1.476469611431919,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,1,1,0.7943687306174818,1,0,-1.3399496930870676,-0.42487223959207304,-1.3017266327640729,0,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,1,0,0,0.5501343215859179,1,1,1.495583045842304,1.1300847132532315,1.3578026552360127,1,5,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
1,0,0,0,-0.9559778674420595,1,1,0.18483356441796028,-0.7465700709793139,0.049473226015006665,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,-0.5489205190561197,1,1,0.7273842991341125,-0.32248092955427354,0.575692839048443,1,1,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,-0.8338606629262776,1,1,-0.5153389433808665,-0.7405367283051346,-0.4621541691225359,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,1,0,0.5094285867473239,1,1,1.1206091435614158,0.9769475064686075,1.1791068085531275,1,4,0,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False
0,0,1,1,0.14307697319997809,1,1,1.313073624378155,0.6079921473716129,1.2382153287746225,1,4,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
1,0,0,0,0.22448844287716607,1,1,1.0011484313303363,0.6107345758598762,1.0653992544428246,1,3,0,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
1,0,1,1,-1.2816237461508113,1,0,-1.5174815848749215,-1.0004970095645918,-1.5133961222143602,0,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,0,-0.9152721326034655,1,1,1.113972437326356,-0.5535689236892943,1.2850444238653582,1,3,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,1,1,-0.7931549280876836,1,0,-0.6679831867872458,-0.7635511881786404,-0.7253862146982448,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,0,0,-0.5896262538947137,1,1,0.5664441729339085,-0.3834505997053438,0.4716244208172577,1,4,0,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False
0,0,1,0,0.18378270803857208,0,0,-0.6480730680820658,-0.30988769793616844,-0.7240172820598301,1,3,0,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
1,0,0,1,-1.1188008067964355,1,0,-1.4793205240233267,-0.9553895457896364,-1.341337111400118,0,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
1,0,0,0,-0.8745663977648716,1,0,0.33250027814804467,-0.6510896807319381,0.30435318259414634,0,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,1.2828375486806096,1,1,1.135541732590301,1.698930200002763,1.0418456297336887,1,4,0,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False
1,0,0,0,-1.2816237461508113,1,0,-0.3112602266527725,-0.984547045476852,-0.3106374600801864,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,1,1,0,0.18378270803857208,1,1,0.9148712502745568,0.5151664279008761,0.9574928948321639,1,2,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,0.631545791263106,1,1,1.3379612727596297,1.183924069334817,1.2962806493311918,1,4,0,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
1,1,1,0,-0.5082147842175256,1,1,0.9828974891839214,-0.17537706544382886,0.9941157983683918,1,2,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,-0.2639803751859618,1,1,0.15165003324266044,-0.21908040583279326,0.14209917525388654,1,3,0,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,0,0,-0.10115743583158582,1,0,-1.5108448786398618,-0.7550825690068833,-1.5106387662718244,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0,1.4863662228735797,1,1,0.06537285218688103,0.9998083903467704,0.0465959850314906,0,3,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
1,0,1,1,1.2421318138420157,1,1,0.8120023036311275,1.4472630224918142,0.7912544956227445,1,6,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,1,0,-1.1188008067964355,1,0,-1.5125040551986266,-0.9536124521292417,-1.3145356116386686,0,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,0,0.26519417771576004,1,1,-1.4760021709057967,-0.6622787889640525,-1.4784413330351354,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,1,-1.1595065416350294,1,1,1.2201597370873154,-0.8489613810171134,0.8668913951797839,1,3,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,1,0,1.1200146093262338,1,0,1.2019087949409006,1.6533839476696857,1.1973053577738642,1,3,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False
1,0,1,1,-0.5489205190561197,1,0,1.273253386967795,-0.12577201894812187,1.3564018931782484,1,4,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0,1,0,-0.8745663977648716,1,1,1.2301147964399053,-0.5063552748353529,1.296550118207394,1,3,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,1,0,0,-0.06045170099299184,1,1,1.1620885575305409,0.3893438088593547,1.2526232547990888,1,3,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,-0.10115743583158582,1,1,0.642766294637098,0.061108027956093984,0.540944349212611,0,3,0,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,0.8350744654560759,1,0,-1.3382905165283026,-0.44771118404233,-1.35020227088329,0,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,0,0,-1.1188008067964355,1,1,0.8103431270723621,-0.8063330725955483,0.9066800414305775,1,3,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,0,0,0.7536629957788878,1,1,0.4868036981131887,0.7351311320875006,0.4300532250483191,0,1,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,0,1.5677776925507676,1,0,0.8086839505135972,1.7943447719664205,0.8286243433772796,1,6,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,1,1.1607203441648277,1,1,-1.3250171040581826,-0.3514629138182404,-1.3359399261617773,0,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,1,0,0,-0.9966836022806536,1,1,0.31756768911915967,-0.7427745499515576,0.36002043904311576,0,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,-0.9152721326034655,1,1,-0.3311703453579522,-0.7593168785927619,-0.2664646178807605,0,2,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,1,0,-0.8338606629262776,0,1,-0.5004063543519814,-0.7381233912354629,-0.44698871143858815,1,3,1,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
1,0,1,0,1.3642490183577978,1,0,-0.03583691789778363,0.8623359350871068,-0.010687267276686245,1,2,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,0,0,0,-0.3453918448631497,1,0,-0.14866092389380306,-0.3767371347660752,-0.1623606442703165,0,3,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
0,0,1,1,-1.1595065416350294,1,0,-0.2797358720362375,-0.9057625598660234,-0.20392778510404574,0,2,1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
0,0,0,0,-1.1595065416350294,1,1,0.7970697146022425,-0.8530640540355553,0.7895475609916508,1,2,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,1,0.1023712383613841,1,0,-0.30960105009400735,-0.1241265618551639,-0.24238108326266816,0,2,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
0,1,0,0,0.5094285867473239,1,1,0.689223238282518,0.6488653015606894,0.6293267983573629,0,3,0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
1,0,0,0,1.3235432835192036,1,1,1.495583045842304,2.123436190558019,1.4852411915516628,1,5,0,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False
0,0,1,1,-0.7524491932490895,1,1,0.5299422886410788,-0.503086300077343,0.5758918662442951,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,1,1,1.1607203441648277,0,1,-0.4722003528529765,0.346386409019198,-0.4732581771107973,1,4,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False
1,0,1,1,1.4456604880349857,1,0,0.5116913464946635,1.34963256830964,0.46681526765865844,0,2,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
0,0,1,1,-0.38609757970174374,1,1,-0.2382564580671127,-0.4460218480935598,-0.3031566335230454,0,3,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
0,0,0,0,0.9164859351332638,1,1,0.5515115839050234,0.9697952529712167,0.5642465136142601,0,2,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,1.4863662228735797,1,0,-1.3432680462045974,-0.2549952493150897,-1.3247450217285102,0,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,1,0,-1.0373893371192475,1,0,0.5415565245524336,-0.754380507313888,0.5933813810798091,1,5,1,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False
0,0,1,1,1.6084834273893616,1,0,0.4685527559667738,1.5056438401499639,0.4849056852738058,0,1,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,1,1,1.1607203441648277,1,1,-0.5053838840282764,0.29050668614234454,-0.5423367238547876,0,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1,1,0,1.2828375486806096,1,0,0.5100321699358986,1.192787598208884,0.4454812397870889,0,2,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,1,1,0,-0.019745966154397852,1,1,0.9380997220972668,0.2771675139754317,0.881987918965168,1,2,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,-1.2816237461508113,1,1,0.4851445215544238,-0.9740161200819208,0.4834810513701623,0,1,1,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,-1.2002122764736234,1,1,0.5763992322864984,-0.9148454830191515,0.21601752494417695,0,2,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,0,0,1,-1.2002122764736234,1,0,-1.4842980536996218,-0.9867190488395567,-1.5906020886053662,0,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
